what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1392015551113
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1392015551113
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1392015551113
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1392015551113
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1392015551113
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1392015551113
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1392015551113
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1392015551113
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1392015551113
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1392015551113
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1392015551113
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1392015551113
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1392015551113
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1392015551113
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1392015551113
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1392015551113
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1392015551113
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1392015551113
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1392015551113
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1392015551113
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1392015551113
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1392015551113
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1392015551113
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1392015551113
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1392015551113
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1392015551113
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1392015551128
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1392015551128
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1392015551128
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1392015551128
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1392015551128
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1392015551128
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1392015551128
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1392015551128
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1392015551159
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1392015551159
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1392015551159
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1392015551159
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1392015551159
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1392015551159
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1392015551159
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1392015551159
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1392015551159
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1392015551159
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1392015551159
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1392015551175
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1392015551175
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1392015551175
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1392015551175
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1392015551175
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1392015551175
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1392015551175
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1392015551175
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1392015551222
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1392015551222
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1392015551222
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1392015551222
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1392015551237
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1392015551237
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1392015551237
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1392015551237
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1392015551237
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1392015551237
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1392015551237
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1392015551237
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1392015551237
os,sysinfo,,,"win32",1392015551253
arch,sysinfo,,,"x86",1392015551253
ws,sysinfo,,,"win32",1392015551253
locale,sysinfo,,,"en_US",1392015551253
processors,sysinfo,,,"4",1392015551253
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392015551253
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1392015551253
java.specification.name,sysinfo,,,"Java Platform API Specification",1392015551253
java.specification.vendor,sysinfo,,,"Oracle Corporation",1392015551253
java.specification.version,sysinfo,,,"1.7",1392015551253
java.vendor,sysinfo,,,"Oracle Corporation",1392015551253
java.version,sysinfo,,,"1.7.0_01",1392015551253
java.vm.info,sysinfo,,,"mixed mode, sharing",1392015551253
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392015551253
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392015551253
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1392015551253
java.vm.specification.version,sysinfo,,,"1.7",1392015551253
java.vm.vendor,sysinfo,,,"Oracle Corporation",1392015551253
java.vm.version,sysinfo,,,"21.1-b02",1392015551253
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1392015552312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015552562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015555537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015556889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015562794
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1392015586621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015646325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015762489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015773407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015775495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392015777006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392030606995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392030607138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392030610098
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392030610185
